"openai/baselines' PPO2 (average by the episodic returns of the last 100 training episodes, then average by 3 random seeds)","CleanRL's ppo_atari_envpool_xla_jax_truncation.py (average by the last 100 ""data points"" (see `README.md`), then average by 3 random seeds)",CleanRL's ppo_atari_envpool_xla_jax.py,CleanRL's ppo_atari_envpool_xla_vclip_jax.py
Alien-v5,1705.80 ± 439.74,1755.00 ± 342.54,1736.39 ± 68.65,1849.70 ± 212.53
Gopher-v5,3672.53 ± 1749.20,2493.51 ± 2185.28,6505.29 ± 7655.20,4146.18 ± 2243.14
Gravitar-v5,881.67 ± 33.73,626.52 ± 46.03,1099.33 ± 603.06,558.21 ± 107.62
Hero-v5,24746.88 ± 3530.10,29907.28 ± 2776.20,26429.65 ± 924.74,28615.30 ± 3768.10
IceHockey-v5,-4.12 ± 0.20,-4.51 ± 0.27,-4.33 ± 0.43,-4.29 ± 0.42
PrivateEye-v5,31.83 ± 43.74,57.67 ± 42.24,100.00 ± 0.00,66.67 ± 47.14
Qbert-v5,15228.25 ± 920.95,17318.50 ± 385.80,17246.27 ± 605.40,16292.49 ± 1808.49
Riverraid-v5,9023.57 ± 1386.85,8676.91 ± 725.75,8275.25 ± 256.63,8129.92 ± 101.03
RoadRunner-v5,40125.33 ± 7249.13,45092.50 ± 796.30,33040.38 ± 16488.95,38112.03 ± 6466.17
Robotank-v5,16.45 ± 3.37,11.69 ± 5.49,14.43 ± 4.98,12.08 ± 4.78
Seaquest-v5,1518.33 ± 400.35,1203.30 ± 364.07,1240.30 ± 419.36,1347.85 ± 365.20
Skiing-v5,-22978.48 ± 9894.25,-11533.75 ± 3604.51,-18483.46 ± 8684.71,-24675.58 ± 8127.48
Solaris-v5,2365.33 ± 157.75,2056.02 ± 89.43,2198.36 ± 147.23,2105.15 ± 315.33
SpaceInvaders-v5,1019.75 ± 49.08,1164.26 ± 176.96,1188.82 ± 80.52,1049.47 ± 174.25
StarGunner-v5,44457.67 ± 3031.86,46906.46 ± 2422.07,43519.12 ± 4709.23,41980.45 ± 2504.82
Surround-v5,-4.97 ± 0.99,-5.33 ± 1.73,-2.58 ± 2.31,-4.38 ± 1.29
Tennis-v5,-16.44 ± 1.46,-12.02 ± 7.92,-17.64 ± 4.60,-11.76 ± 6.15
TimePilot-v5,6346.67 ± 663.31,6915.75 ± 1400.00,6476.46 ± 993.30,5829.32 ± 892.68
Tutankham-v5,190.73 ± 12.00,221.88 ± 28.88,249.05 ± 16.56,215.81 ± 31.52
UpNDown-v5,156143.70 ± 70620.88,394292.22 ± 199475.88,487495.41 ± 39751.49,349356.45 ± 101680.24
Venture-v5,109.33 ± 61.57,0.00 ± 0.00,0.00 ± 0.00,53.60 ± 58.92
VideoPinball-v5,53121.26 ± 2580.70,76031.30 ± 17313.17,43133.94 ± 6362.12,61215.02 ± 18221.35
WizardOfWor-v5,5346.33 ± 277.11,6392.12 ± 548.63,6353.58 ± 116.59,6424.12 ± 916.93
YarsRevenge-v5,9394.97 ± 2743.74,63012.63 ± 5800.47,55757.68 ± 7467.49,18712.22 ± 7366.72
Zaxxon-v5,5532.67 ± 2607.65,4767.50 ± 3370.76,3689.67 ± 2477.25,6063.45 ± 823.77
Jamesbond-v5,536.50 ± 82.33,585.02 ± 106.40,496.08 ± 24.60,569.12 ± 31.18
Kangaroo-v5,5325.33 ± 3464.80,4484.29 ± 323.07,6582.12 ± 5395.44,7771.92 ± 2709.64
Krull-v5,8737.10 ± 294.58,9420.27 ± 271.85,9718.09 ± 649.15,9725.10 ± 233.86
KungFuMaster-v5,30451.67 ± 5515.45,29591.29 ± 1533.86,26000.25 ± 1965.22,30428.33 ± 3431.99
MontezumaRevenge-v5,1.00 ± 1.41,4.25 ± 6.01,0.08 ± 0.12,0.00 ± 0.00
MsPacman-v5,2152.83 ± 152.80,2574.25 ± 589.84,2345.67 ± 185.94,2135.23 ± 272.48
NameThisGame-v5,6815.63 ± 1098.95,5939.28 ± 118.37,5750.00 ± 181.32,6044.62 ± 340.07
Phoenix-v5,9517.73 ± 1176.62,14847.46 ± 480.81,14474.11 ± 1794.83,11524.45 ± 490.14
Pitfall-v5,-0.76 ± 0.55,-113.92 ± 98.81,0.00 ± 0.00,-28.11 ± 38.46
Pong-v5,20.45 ± 0.81,20.62 ± 0.18,20.39 ± 0.24,20.54 ± 0.28
